id_salarié,Ancienneté_an,Distance domicile/Travail,Service,Work_accident,Niveau de satisfaction
16301213-1524,1.8,59,Consultant,Non,59
16301226-6122,19.3,41,Marketing,Oui,69
16310121-8257,14.9,6,Commercial,Non,52
16310403-3810,9.3,57,Compta Finances,Oui,4
16311229-8504,17.3,69,RH,Non,47
16320710-7636,22.6,43,R&D,Non,41
16320910-2411,14.3,31,Commercial,Oui,31
16320923-9437,15.1,34,RH,Non,55
16330117-4748,3.8,53,Commercial,Non,58
16330528-4048,13.9,50,Commercial,Oui,15
16340716-8222,21.1,22,Commercial,Non,15
16340806-9395,9.9,45,Commercial,Oui,1
16341225-2086,22.7,59,Compta Finances,Oui,6
16341230-0471,23.3,48,R&D,Oui,57
16350127-5733,24.2,9,Commercial,Oui,86
16350925-6446,5.5,46,Compta Finances,Non,31
16360125-5924,24.7,53,Commercial,Non,61
16360616-0509,4.8,33,Compta Finances,Non,14
16360827-6352,3.5,61,Compta Finances,Non,44
16360908-7378,10.6,18,Commercial,Non,84
16370212-9440,23.3,60,R&D,Oui,54
16370717-6461,10.8,44,Marketing,Oui,73
16381004-1917,21.2,49,RH,Non,47
16390127-6224,23.9,52,RH,Oui,29
16390301-2403,24.0,55,RH,Oui,95
16400112-6921,15.6,36,Marketing,Non,37
16400120-2136,5.8,61,Consultant,Oui,94
16400410-2770,20.0,57,Commercial,Oui,44
16400510-0542,19.0,7,Consultant,Oui,8
16410407-6098,7.4,5,Compta Finances,Non,84
16410421-3634,14.9,13,RH,Oui,99
16411102-7886,11.8,46,RH,Non,49
16420516-7234,7.5,70,RH,Oui,86
16420625-3827,9.3,35,Consultant,Non,62
16421009-6154,21.1,5,Consultant,Non,59
16421204-6850,8.7,60,Compta Finances,Oui,26
16430518-1481,20.2,65,Consultant,Oui,63
16430903-4405,8.8,13,Marketing,Non,25
16431025-4026,22.8,62,Consultant,Non,34
16431030-6354,8.3,63,Consultant,Non,50
16431129-7214,22.2,28,RH,Non,63
16440228-5151,2.9,3,Consultant,Non,2
16440819-3466,17.0,28,Commercial,Oui,42
16441109-5385,1.2,12,Consultant,Non,100
16450910-7050,9.8,22,RH,Non,77
16451016-1336,0.3,42,Marketing,Non,25
16451112-4747,21.8,31,Marketing,Oui,75
16460313-0032,12.6,33,Consultant,Oui,82
16460821-8733,18.7,26,Commercial,Oui,48
16460901-5575,13.2,44,Consultant,Non,37
16460901-9957,13.7,34,Compta Finances,Oui,40
16461115-9486,10.2,35,Marketing,Non,92
16470418-3807,13.0,26,Compta Finances,Oui,78
16490707-4639,16.2,55,Marketing,Oui,51
16491209-6288,20.5,45,Commercial,Oui,7
16500419-9062,11.7,68,RH,Oui,69
16500514-6310,21.9,55,Commercial,Non,77
16510216-5973,5.9,23,Marketing,Non,37
16520121-8566,20.6,64,RH,Oui,11
16520612-7770,24.4,39,R&D,Oui,32
16530329-9431,19.4,38,Commercial,Non,44
16540514-9153,15.7,69,Compta Finances,Non,48
16540728-0337,1.8,6,Compta Finances,Non,84
16550903-3725,10.0,16,RH,Oui,58
16550904-2932,24.2,58,Marketing,Non,29
16551001-4151,24.3,35,Commercial,Non,47
16560103-9174,23.5,14,Consultant,Oui,66
16560122-3612,22.7,4,Marketing,Non,45
16560125-0110,22.6,47,Commercial,Non,95
16560416-4227,10.5,56,Commercial,Non,13
16560517-2740,6.3,29,Commercial,Oui,14
16560624-9059,11.7,54,Compta Finances,Oui,96
16560730-2626,22.8,67,R&D,Oui,4
16571101-6617,23.2,29,Commercial,Oui,39
16580220-7323,12.4,41,Marketing,Non,32
16581203-8213,9.2,65,Consultant,Oui,5
16590417-5196,22.2,37,Compta Finances,Non,52
16590918-0399,21.5,55,RH,Oui,87
16600521-9024,12.5,11,Consultant,Non,69
16600811-0956,14.2,8,Compta Finances,Non,28
16600919-9578,17.2,48,Commercial,Oui,40
16601210-4086,22.3,37,Marketing,Non,74
16610522-9428,5.2,34,Compta Finances,Non,42
16610722-2223,10.0,21,Commercial,Oui,42
16610809-8713,11.9,16,Compta Finances,Non,68
16611004-8219,10.2,42,Commercial,Non,98
16620412-8323,11.7,43,Consultant,Non,1
16620606-6349,20.4,9,RH,Non,39
16620809-2681,5.6,7,Consultant,Oui,33
16621028-8244,17.3,45,Commercial,Non,21
16630411-0916,16.4,23,Compta Finances,Non,44
16640209-4004,7.1,38,Consultant,Non,80
16640301-8754,4.2,65,Marketing,Oui,40
16640715-7632,12.7,16,RH,Oui,84
16640904-2246,4.4,67,Consultant,Oui,81
16650614-4689,19.3,23,RH,Non,23
16660325-6006,9.7,28,Consultant,Oui,39
16660922-3489,5.3,30,Commercial,Oui,97
16661123-8764,24.9,62,Commercial,Non,17
16661124-0695,12.0,66,Consultant,Oui,46
16670406-9274,7.5,6,RH,Non,90
16670913-0147,0.8,8,Compta Finances,Oui,45
16671208-2624,8.2,65,Marketing,Oui,1
16680515-6269,16.8,60,Marketing,Oui,38
16681012-6406,5.5,43,Consultant,Non,47
16690714-7836,1.1,9,Marketing,Oui,96
16691022-5702,20.1,12,Consultant,Non,25
16700908-2889,9.2,21,Commercial,Oui,79
16700930-1784,20.6,13,Marketing,Oui,99
16710125-5136,12.8,20,Commercial,Oui,52
16710204-1402,20.4,55,RH,Non,78
16710920-7451,15.7,48,Consultant,Non,50
16711027-7246,6.5,68,Consultant,Oui,89
16720410-2094,10.8,27,Commercial,Oui,78
16720411-0782,16.2,21,Consultant,Oui,3
16720627-1632,8.3,50,R&D,Non,93
16721116-8286,21.6,14,Commercial,Oui,62
16721204-5277,21.1,61,Consultant,Oui,1
16730908-9915,23.0,3,Compta Finances,Oui,65
16730918-6273,0.6,14,Marketing,Oui,70
16731208-8904,9.7,30,RH,Non,29
16740208-0084,1.9,15,Commercial,Oui,76
16740413-0572,10.7,30,RH,Oui,1
16741025-9738,16.2,66,RH,Non,46
16750302-5590,23.9,47,Commercial,Oui,86
16750821-7945,7.4,62,Consultant,Oui,72
16760117-3029,10.3,31,Compta Finances,Non,32
16760706-4982,19.0,3,Compta Finances,Non,15
16761028-0344,7.3,9,Consultant,Oui,51
16761104-5282,6.3,17,Consultant,Oui,30
16770513-2772,3.8,30,Consultant,Non,77
16770802-4604,0.4,17,Consultant,Oui,24
16770921-1705,4.2,40,R&D,Oui,4
16780226-1060,8.2,25,Compta Finances,Non,17
16781122-5775,22.4,48,Marketing,Non,81
16790704-0179,1.7,60,Commercial,Oui,58
16800116-6613,23.9,37,Marketing,Non,1
16810204-2564,9.1,46,R&D,Oui,74
16810230-7785,2.5,55,Marketing,Non,67
16810711-6330,1.4,67,Marketing,Non,19
16810725-6144,5.8,59,RH,Oui,46
16810820-7468,1.4,42,Consultant,Non,18
16820319-6442,17.2,11,Compta Finances,Oui,56
16820517-1112,17.4,42,Consultant,Oui,90
16820525-6301,17.1,43,Consultant,Non,69
16820814-8992,15.7,29,Compta Finances,Non,70
16820822-2953,9.3,45,Consultant,Non,95
16830122-2462,15.6,24,Commercial,Non,80
16831218-0485,3.7,26,RH,Oui,6
16840316-2442,6.0,67,Compta Finances,Oui,70
16850330-5826,18.4,64,Commercial,Non,11
16850430-6617,15.7,45,RH,Non,80
16851208-5567,23.7,38,Consultant,Oui,15
16860412-1965,24.4,8,Consultant,Non,36
16861012-1389,24.0,60,RH,Oui,92
16870824-4853,8.2,13,Marketing,Oui,22
16880121-1056,22.8,38,Marketing,Oui,70
16890313-1335,6.8,18,Commercial,Oui,67
16890714-6248,10.3,11,Consultant,Oui,87
16891006-1830,3.1,13,RH,Non,65
16891013-6921,9.2,44,RH,Oui,88
16891203-4397,1.3,43,Consultant,Oui,6
16891227-4985,5.3,60,Compta Finances,Oui,12
16900402-0286,15.6,65,Marketing,Oui,64
16900610-6265,5.8,44,R&D,Oui,8
16910501-3081,15.8,46,Commercial,Oui,60
16910810-9712,12.2,28,Consultant,Oui,45
16910826-9763,8.4,17,Consultant,Oui,51
16910902-6667,16.3,28,Compta Finances,Oui,32
16920105-1209,25.0,58,Consultant,Non,19
16920219-1855,3.2,15,Consultant,Oui,60
16920528-2461,15.2,31,R&D,Non,35
16920713-6616,23.3,9,Marketing,Non,81
16920917-6040,13.1,27,Commercial,Oui,56
16931009-2151,20.0,8,R&D,Non,31
16931211-0175,22.4,64,Commercial,Non,15
16940414-0312,20.2,53,Consultant,Non,24
16940521-7028,5.9,70,RH,Oui,7
16950514-2464,18.9,69,Compta Finances,Oui,89
16950828-2259,7.5,60,Marketing,Non,25
16951117-9468,8.2,43,RH,Oui,48
16960619-9017,17.8,56,Marketing,Oui,34
16960628-0338,10.5,6,Commercial,Non,47
16960906-7989,3.3,15,R&D,Oui,81
16970415-1050,21.7,59,Consultant,Non,98
16981206-3817,13.0,68,RH,Oui,62
16990414-3527,10.8,32,Consultant,Non,39
16990924-2829,22.5,69,Consultant,Non,60
